Date,Open,High,Low,Close*,Adj Close**,Volume
"Apr 08, 2022",97.17,98.76,95.29,98.26,98.26,310082
"Apr 07, 2022",97.16,98.82,93.81,96.03,96.03,367318
"Apr 06, 2022",101.24,104.02,95.73,96.23,96.23,366036
"Apr 05, 2022",103.66,105.59,99.88,101.96,101.96,280283
"Apr 04, 2022",98.95,103.94,98.05,103.28,103.28,288131
"Apr 01, 2022",101.23,101.75,97.78,99.27,99.27,324777
"Mar 31, 2022",107.45,107.8,99.66,100.28,100.28,450845
"Mar 30, 2022",105.24,108.75,104.55,107.82,107.82,284544
"Mar 29, 2022",103.47,107.84,98.44,104.24,104.24,387200
"Mar 28, 2022",112.92,112.93,102.83,105.96,105.96,372251
"Mar 25, 2022",111.75,114.12,108.68,113.9,113.9,320304
"Mar 24, 2022",114.47,116.64,110.61,112.34,112.34,307238
"Mar 23, 2022",108.85,115.4,108.38,114.93,114.93,289182
"Mar 21, 2022",112.9,115.01,109.3,111.76,111.76,318629
"Mar 21, 2022",105.13,112.69,104.08,112.12,112.12,77217
"Mar 18, 2022",103.62,106.28,102.3,104.7,104.7,74247
"Mar 17, 2022",95.34,104.24,94.85,102.98,102.98,210763
"Mar 16, 2022",95.23,99.22,94.07,95.04,95.04,293947
"Mar 15, 2022",102.28,102.58,93.53,96.44,96.44,401690
"Mar 14, 2022",109.42,109.72,99.76,103.01,103.01,344184
"Mar 11, 2022",105.99,110.29,104.48,109.33,109.33,368194
"Mar 10, 2022",110.41,114.88,105.53,106.02,106.02,437924
"Mar 09, 2022",124.66,126.84,103.63,108.7,108.7,594773
"Mar 08, 2022",120.67,129.44,117.07,123.7,123.7,583106
"Mar 07, 2022",121.33,130.5,115.54,119.4,119.4,576022
"Mar 04, 2022",107.96,116.02,107.25,115.68,115.68,493875
"Mar 03, 2022",111.33,116.57,106.43,107.67,107.67,592031
"Mar 02, 2022",107.12,112.51,105.18,110.6,110.6,651853
"Mar 01, 2022",96.09,106.78,95.32,103.41,103.41,698814
"Feb 28, 2022",94.99,99.1,94.43,95.72,95.72,490796
"Feb 25, 2022",93.32,95.64,90.06,91.59,91.59,523793
"Feb 24, 2022",92.52,100.54,91.45,92.81,92.81,872244
"Feb 23, 2022",91.74,93.9,90.64,92.1,92.1,440574
"Feb 22, 2022",91.75,96,90.35,92.35,92.35,789041
"Feb 18, 2022",91.63,92.66,89.03,91.07,91.07,150382
"Feb 17, 2022",90.9,93.36,90.62,91.76,91.76,212552
"Feb 16, 2022",92.21,95.01,90,93.66,93.66,401453
"Feb 15, 2022",94.83,95.17,90.66,92.07,92.07,442641
"Feb 14, 2022",93.91,95.82,92.09,95.46,95.46,467071
"Feb 11, 2022",90,94.66,89.19,93.1,93.1,554423
"Feb 10, 2022",90.01,91.74,89.03,89.88,89.88,492091
"Feb 09, 2022",89.86,90.58,88.41,89.66,89.66,445618
"Feb 08, 2022",91.64,91.68,88.51,89.36,89.36,467386
"Feb 07, 2022",91.82,92.73,90.73,91.32,91.32,497754
"Feb 04, 2022",90.19,93.17,90.07,92.31,92.31,410926
"Feb 03, 2022",87.98,90.45,86.75,90.27,90.27,465771
"Feb 02, 2022",88.35,89.72,87.1,88.26,88.26,456863
"Feb 01, 2022",88.15,88.87,86.55,88.2,88.2,376841
"Jan 31, 2022",87.45,88.39,86.34,88.15,88.15,359080
"Jan 28, 2022",87.5,88.84,86.44,86.82,86.82,436172
"Jan 27, 2022",87.15,88.54,86.2,86.61,86.61,427804
"Jan 26, 2022",85.26,87.95,85.01,87.35,87.35,459642
"Jan 25, 2022",84.15,85.71,82.99,85.6,85.6,507219
"Jan 24, 2022",84.91,86.09,81.9,83.31,83.31,511695
"Jan 21, 2022",84.57,85.56,82.78,85.14,85.14,509103
"Jan 20, 2022",86.23,87.82,86,86.9,86.9,532202
"Jan 19, 2022",86.61,87.91,85.77,86.96,86.96,113153
